"maxVal"	"cluster"	"correct"	"trueCluster"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"SV.TP63"	"SV.BCL6"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"
"dlbcl_ls2595"	0.301860004663467	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f089_mlb"	0.403088927268982	1	FALSE	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	4	0	0	0
"dlbcl_ls951"	0.448295593261719	1	FALSE	5	2	0	0	1	0	0	0	6	6	0	0	0	0	0	1	5	0	1	0	0
"dlbcl_ricover_1045"	0.44867804646492	1	FALSE	5	2	0	0	0	0	0	2	6	10	0	2	2	0	0	0	2	2	0	0	0
"dlbcl_ls1899"	0.451044082641602	1	FALSE	5	0	0	0	0	0	0	1	2	7	0	0	0	0	0	0	2	0	0	0	0
"dlbcl_ricover_467"	0.497770339250565	1	FALSE	4	3	0	3	0	0	2	0	0	0	0	0	6	3	0	0	9	8	0	0	2
"dlbcl_bwh_dlbcl64"	0.50614595413208	1	TRUE	1	0	0	0	0	0	2	6	4	10	0	0	0	0	3	0	8	0	2	0	0
"dlbcl_ricover_1150"	0.557500720024109	1	TRUE	1	5	0	0	0	0	0	1	2	3	0	0	2	0	3	1	4	2	0	0	1
"dlbcl_ricover_978"	0.57440060377121	1	FALSE	2	2	0	0	2	6	4	4	0	6	0	0	0	0	0	0	7	1	1	0	0
"dlbcl_c_d_1106_nullpair"	0.655740737915039	1	TRUE	1	0	0	0	0	4	0	2	0	2	0	0	0	0	3	0	9	2	0	1	0
"dlbcl_c_d_1118_nullpair"	0.670886158943176	1	FALSE	3	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	11	0	2	1	0
"dlbcl_c_d_1135_nullpair"	0.694734036922455	1	FALSE	3	3	0	2	1	0	2	6	0	6	0	0	0	0	3	1	15	4	0	0	1
"dlbcl_c_d_1154_nullpair"	0.69695919752121	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	1	0	0	0
"dlbcl_ricover_575"	0.707193493843079	1	TRUE	1	4	0	0	2	2	0	2	0	4	0	0	0	0	0	0	3	1	0	0	0
"dlbcl_c_d_1146_nullpair"	0.718332767486572	1	TRUE	1	1	0	0	0	0	0	1	2	5	0	0	0	3	0	0	6	0	2	0	0
"dlbcl_ricover_711"	0.734186768531799	1	FALSE	5	0	0	1	0	0	0	6	2	10	0	0	0	0	3	0	11	0	2	0	0
"dlbcl_ricover_473"	0.739475965499878	1	TRUE	1	0	0	0	0	6	2	2	0	4	0	0	2	0	0	0	4	2	0	0	0
"dlbcl_ricover_1144"	0.746714890003204	1	TRUE	1	2	0	0	0	2	0	2	2	6	2	2	4	0	3	0	1	0	0	0	0
"dlbcl_ricover_826"	0.75889652967453	1	TRUE	1	2	0	1	2	2	0	2	2	8	0	0	2	0	3	0	5	1	0	0	0
"dlbcl_ls3809"	0.77297842502594	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	4	0	3	1	3	2	0	0	1
"dlbcl_c_d_1128_nullpair"	0.780686497688293	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"dlbcl_ricover_120"	0.783613383769989	1	TRUE	1	2	0	0	0	2	2	0	0	0	0	0	2	0	3	0	4	2	0	0	0
"dfcidl001_dt"	0.792520403862	1	TRUE	1	5	0	0	2	2	0	2	2	4	0	0	0	0	3	0	7	0	2	0	0
"dlbcl_mc_f139_ad"	0.809684276580811	1	TRUE	1	2	0	2	2	2	0	4	0	12	0	0	0	0	3	0	1	0	0	0	0
"dlbcl_ricover_829"	0.817511677742004	1	TRUE	1	2	0	2	0	4	0	1	0	4	0	2	5	0	3	0	5	2	0	0	0
"dfcidl010_dt"	0.850991904735565	1	TRUE	1	4	0	0	0	2	0	2	2	4	0	0	0	0	3	0	2	0	0	0	0
"dlbcl_ricover_865"	0.856515228748322	1	TRUE	1	5	0	1	1	4	0	2	3	5	0	0	0	0	3	0	5	2	0	0	0
"dlbcl_ricover_694"	0.869232475757599	1	TRUE	1	2	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0
"dlbcl_ls2978"	0.879118323326111	1	TRUE	1	4	0	2	0	0	0	4	0	4	0	2	2	3	3	0	6	0	2	0	0
"dlbcl_ls378"	0.880177915096283	1	TRUE	1	2	0	0	0	2	2	3	0	3	0	2	2	0	3	0	3	0	0	0	0
"dlbcl_c_d_1114_nullpair"	0.885021865367889	1	TRUE	1	2	0	0	0	0	0	4	0	4	0	2	2	0	3	0	2	0	0	0	0
"dlbcl_c_d_1155_nullpair"	0.885543465614319	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	0	0
"dlbcl_mc_f648_jkw"	0.888220369815826	1	TRUE	1	2	0	2	0	0	0	0	2	4	0	0	0	0	3	0	4	2	0	0	0
"dlbcl_mc_f132_mlm"	0.893210589885712	1	TRUE	1	0	0	0	0	4	0	2	2	4	0	2	4	0	3	0	1	0	0	0	0
"dlbcl_c_d_1130_nullpair"	0.896519303321838	1	TRUE	1	2	0	0	0	4	1	2	0	2	0	0	0	3	3	0	6	0	0	0	0
"dlbcl_c_d_1123_nullpair"	0.90533035993576	1	TRUE	1	5	0	0	0	4	0	2	0	4	0	0	0	0	3	0	6	1	0	0	0
"dlbcl_ls1757"	0.907278895378113	1	TRUE	1	4	0	1	0	2	2	0	4	4	0	2	2	3	3	0	7	0	0	0	0
"dlbcl_ricover_290"	0.917996227741241	1	TRUE	1	4	0	0	0	3	1	2	0	2	0	2	2	0	3	0	2	1	1	0	0
"dlbcl_mayo_dlbcl_5613"	0.919137120246887	1	TRUE	1	2	0	0	0	2	0	0	2	2	0	0	0	0	3	0	3	2	0	0	0
"dlbcl_c_d_1112_nullpair"	0.390736132860184	2	FALSE	1	2	0	0	0	0	2	0	2	2	0	0	0	3	0	1	3	2	0	0	0
"dlbcl_c_d_1138_nullpair"	0.421126067638397	2	FALSE	5	0	0	0	4	0	0	4	0	4	0	0	0	0	0	0	3	4	0	0	1
"dlbcl_ls2599"	0.424077540636063	2	TRUE	2	2	5	0	4	0	0	0	2	6	0	0	0	0	0	0	4	0	0	0	0
"dlbcl_ricover_773"	0.432698339223862	2	FALSE	4	0	0	0	0	0	4	0	0	0	2	0	4	0	0	0	4	3	0	0	1
"dlbcl_ricover_111"	0.443581193685532	2	TRUE	2	0	0	0	2	2	2	0	0	0	0	0	1	0	0	0	3	2	1	0	1
