"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"	"COO..GCB.1.unclass.2.ABC.3.na."
"dlbcl_ls2367"	0.311279588945051	1	TRUE	1	0	3	0	2	0	0	5	0	0	0	2	1	4	5	1	0	2	0	0	2	0	"1"
"dlbcl_c_d_1112_nullpair"	0.352524235554213	1	TRUE	1	3	0	0	2	1	0	3	0	0	2	0	0	2	2	0	0	2	0	0	0	0	"1"
"dlbcl_c_d_1105_nullpair"	0.355173363381167	1	FALSE	4	0	0	4	0	0	0	4	1	0	2	0	1	0	1	0	0	2	0	0	2	0	"1"
"dlbcl_ricover_181"	0.357843914874473	1	TRUE	1	0	3	4	0	0	0	3	0	0	2	0	1	4	5	1	0	2	0	0	2	0	"2"
"dlbcl_ricover_473"	0.367254298006273	1	TRUE	1	0	0	6	0	0	0	4	0	0	2	0	2	0	4	0	0	2	0	0	2	0	"3"
"dlbcl_ls3615"	0.391642648435526	1	FALSE	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	"2"
"dlbcl_ricover_826"	0.476519117879576	1	TRUE	1	0	3	2	2	0	0	5	1	0	0	2	2	2	8	0	0	1	0	0	2	0	"3"
"dlbcl_ricover_1169"	0.512126113931736	1	FALSE	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"3"
"dlbcl_c_d_1132_nullpair"	0.52949806587436	1	TRUE	1	0	0	2	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	"3"
"dlbcl_c_d_1154_nullpair"	0.541424346023637	1	TRUE	1	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"3"
"dlbcl_c_d_1106_nullpair"	0.576029518477448	1	TRUE	1	0	3	4	0	0	0	9	0	0	0	0	2	0	2	0	0	2	0	0	0	1	"2"
"dlbcl_mc_f648_jkw"	0.615970392842991	1	TRUE	1	0	3	0	2	0	0	4	2	0	0	0	0	2	4	0	0	2	0	0	0	0	"3"
